ID,vendorName,vendorAddress,vendorPhone,store_ID,inentory_ID
1,Donnelly and Sons,693 Schoen Greens,628.696.5170x368,1,1
2,Will PLC,9750 Brielle Meadows Apt. 266,946-141-9088x682,2,2
3,Medhurst-Osinski,7016 Demario Lake Suite 592,204-076-9178,3,3
4,Steuber-Bernier,641 Blanche Springs,+21(8)4138732867,4,4
5,Koss LLC,1439 Yundt Curve,(854)540-4502x026,5,5
6,"Reinger, Jacobs and Welch",5183 Robyn Parks Suite 422,515.320.7851x75597,6,6
7,Powlowski LLC,310 Block Union,921.184.7632x1707,7,7
8,"Gottlieb, Ferry and Leffler",4478 Marlon Freeway,4352929783,8,8
9,"Pfeffer, Hahn and Ward",63528 Evert Canyon Suite 463,754-659-7086x380,9,9
10,McClure Group,9899 Emely Loaf Suite 841,012.408.6519x478,10,10
11,"Parisian, Waters and Little",99842 Agustina Parkways Suite 992,(114)730-9067x26424,11,11
12,Greenfelder Group,761 Blair Cliffs,(658)605-5630x876,12,12
13,Kohler-Bergstrom,87765 Rowe Prairie,048-160-9973,13,13
14,"Lubowitz, Cassin and Dare",2805 Emanuel Wells,(502)203-0191,14,14
15,Herman-Kunde,9426 Marquardt Curve Suite 759,1-843-616-1977,15,15
16,"Brakus, Homenick and Jacobson",0785 Nikolaus Path Suite 682,1-567-084-9928x29517,16,16
17,Mante Inc,2103 Barrows Park Suite 813,734-505-7598x017,17,17
18,"Medhurst, Barrows and Smith",366 Arne Ways Suite 339,794.598.2479,18,18
19,Ritchie Ltd,088 Nikolas Row Apt. 125,1-444-477-4829x20688,19,19
20,"Walsh, Kirlin and Morar",1404 Helen Shore,196-462-3007,20,20
21,Paucek-Langworth,85791 Hilton Route Suite 767,+17(6)5544875456,21,21
22,Mayert Inc,215 Kessler Fork,948.576.7677x4821,22,22
23,Hegmann Inc,0445 Calista Extension,1-676-526-0529x09805,23,23
24,"Rohan, Hansen and Hayes",7215 Stiedemann Pines,137-590-4309x7252,24,24
25,Herzog-Robel,2043 Sporer Drive,574-439-2341x7072,25,25
26,Muller-Walker,654 Farrell Run,(479)665-9887,26,26
27,Ruecker Group,3131 Lance Flat Apt. 783,838.570.9184,27,27
28,"Terry, Jast and Bayer",3446 Anibal Mews,1-877-824-3124x19672,28,28
29,Tremblay-Dickens,920 Kailee Canyon Apt. 822,(377)745-8179,29,29
30,Heidenreich-Lehner,070 Destin Valley,672.651.8571x888,30,30
31,Jakubowski-Beier,08346 Kaya Route,(442)197-0936,31,31
32,"Stiedemann, Wilkinson and Jakubowski",19308 Keara Mountains,1-655-497-1792x190,32,32
33,"Pollich, D'Amore and O'Kon",8353 Imelda Corners Suite 944,022.310.9813x4316,33,33
34,"Upton, Jaskolski and Collins",659 Bogisich Neck Suite 131,(665)696-0697,34,34
35,Douglas LLC,08738 Nick Mill,1-533-582-5990x157,35,35
36,Buckridge LLC,8638 Bartell Land Suite 581,841-907-6964x6904,36,36
37,"Bergnaum, Hodkiewicz and Robel",500 Jermain Locks Apt. 643,+47(1)9417519095,37,37
38,"Ziemann, Cormier and Jacobi",9187 Ray Points Suite 239,863-844-7970,38,38
39,Stokes-Wehner,55291 Soledad Well,714153713,39,39
40,"Pfeffer, Frami and Gislason",3643 Holden Parkway Suite 706,(673)905-3312,40,40
41,"Ortiz, Johnston and Hartmann",93428 Sim Forge,1-641-142-5665,41,41
42,Murray-Leannon,4688 Hank Drive,1-340-226-5452,42,42
43,Ledner-Greenholt,212 O'Connell Port,+32(2)9076332149,43,43
44,Beier Ltd,7838 Rudolph Way Apt. 736,+86(2)0391731059,44,44
45,"Stroman, Nikolaus and Greenholt",429 Heaney Freeway,(707)700-2122,45,45
46,Braun Ltd,55708 Viviane Locks,1-835-323-5477x87212,46,46
47,Kutch Group,76747 Nathanael Mall Apt. 849,591-454-6204x2168,43,43
48,Ryan-Sanford,401 Sterling Mall,730-983-1630,32,32
49,Emmerich Inc,66602 Schmitt Groves Suite 698,2039278461,7,7
50,"Bergstrom, Collins and Purdy",011 Braun Plaza Suite 142,260.318.1491,26,26
51,Tremblay-Jakubowski,9545 Simone Isle,1-608-363-2135x4859,20,20
52,Emmerich-Hintz,238 Euna Turnpike Apt. 533,1-190-598-8696,33,33
53,Quitzon Ltd,239 Sauer Mission Suite 329,764.407.2161x68362,6,6
54,Gutmann Group,321 Mitchell Burg Suite 068,(244)975-6599x298,9,9
55,"Howell, Abshire and Ritchie",37859 Larissa Tunnel,(281)194-1370x489,12,12
56,Kemmer-Emard,4283 Jazmyn Club,+17(6)7978853016,40,40
57,"Rippin, Spencer and Bahringer",5740 Berneice Shoal,922-127-0607x6694,7,7
58,Gleichner-Corwin,30758 Brekke Trace Suite 748,+30(6)9710358446,24,24
59,Dooley PLC,4359 Neha Fords Apt. 161,1-273-612-8546,23,23
60,"Rutherford, Kreiger and Swaniawski",9892 Daugherty Forges,(841)771-9811x826,23,23
